ltable_item_name,rtable_item_name,label
HEMOPROPIN 20g (H/Tuýp),Rocimus 0.1%w/w (Tuyp 10g),0
Thực phẩm bảo vệ sức khỏe Livespo® DIA 30  (10 ống/hộp) (Giấy tiếp nhận đăng ký bản công bố sản phẩm số 6547/2019/ĐKSP của Cục ATTP),Rocimus 0.1%w/w (Tuyp 10g),0
Myspa,Rocimus 0.1%w/w (Tuyp 10g),0
Urgo Spray lésions buccales,Anaferon (for children) 3mg (1Vi x 20Vien),0
B COMPLEX C,Anaferon (for children) 3mg (1Vi x 20Vien),0
CP61034750 - 949191 - BCDR COL GENTLE GUM EXPERT BO DOI X 12BO,Anaferon (for children) 3mg (1Vi x 20Vien),0
CIPROBAY TAB 500MG 10'S,Anaferon (for children) 3mg (1Vi x 20Vien),0
BILAXTEN TAB 20MG 10'S,Loreze 10mg (5Vi  x 10Vien),0
321059-70642-TBK D.XẢ P.HỒI HƯ TỔN CHUYÊN SÂU 490ml(TSUBAKI P EX INTENSIVE REPAIR CONDITIONER 490ML),Loreze 10mg (5Vi  x 10Vien),0
Twister Cam Chai nhựa 450x24 Lốc 6,Loreze 10mg (5Vi  x 10Vien),0
Băng vệ sinh Doctor Care ban đêm ,Loreze 10mg (5Vi  x 10Vien),0
PO000306648,Loreze 10mg (5Vi  x 10Vien),0
DUREX GEL MASSAGE ALOE 200ML,Loreze 10mg (5Vi  x 10Vien),0
"OTIV, Hộp/60 Viên, Lô: OB04102360, HSD: 01/08/2026",Avarino (5Vi x 10Vien),0
LAMICTAL TAB 50MG 30'S,Avarino (5Vi x 10Vien),0
BETADINE FW DAILY USE GENTLE PRO. 100ML,Avarino (5Vi x 10Vien),0
ROCIMUS 0.1%W/W;0.10%,Avarino (5Vi x 10Vien),0
HCQ;200MG,Avarino (5Vi x 10Vien),0
"Kẹo Tic Tac hương vị cam 14,5 g",Avarino (5Vi x 10Vien),0
Ubvix,Avarino (5Vi x 10Vien),0
AUGMENTIN TAB 625MG 2x7'S,Avarino (5Vi x 10Vien),0
Dạ hương Lavender Tươi Mới 100ml,Avarino (5Vi x 10Vien),0
REMINYL 8MG CAPS. B/28,Gofen 400 Clearcap (5Vi x 10Vien),0
KU Bobby Care 100 - 1809,Gofen 400 Clearcap (5Vi x 10Vien),0
Keo cay con tau KDG FF Cherry 25g,Gofen 400 Clearcap (5Vi x 10Vien),0
Disthyrox ( Levothyroxin 100 mcg),Gofen 400 Clearcap (5Vi x 10Vien),0
(PO000307348),Gofen 400 Clearcap (5Vi x 10Vien),0
BVS Diana Sensi băng quần sizeM-L 2-2110,Kipel 4mg Chewble ( 4vi x 7 vien),0
DOROCRON MR 30mg VNE H/2vỉx30viên -CSBH-2023_KHTT-00723-050526-CK15%-DMC 1,Kipel 4mg Chewble ( 4vi x 7 vien),0
KIPEL CHEWABLE  TABLETS 4MG;,Kipel 4mg Chewble ( 4vi x 7 vien),1
TRAJENTA DUO. FICTA/ 60/2.5+500MG BTL,Kipel 4mg Chewble ( 4vi x 7 vien),0
PO000284741,Kipel 4mg Chewble ( 4vi x 7 vien),0
Fixderma Scar Gel,Acnotin10 (3vi x 10vien),0
"Siro Bé Ăn Ngon (Số lô: 1420623, NSX: 28/06/2023 - HSD: 27/06/2026)",Acnotin10 (3vi x 10vien),0
DAFLON TAB 500MG 60'S,Acnotin10 (3vi x 10vien),0
Bông tẩy trang tròn CZ2,Acnotin10 (3vi x 10vien),0
Chiết khấu theo hợp đồng mua bán,Acnotin10 (3vi x 10vien),0
Laurier Sieu Mong 1mm 2210 10x24 2211,Acnotin10 (3vi x 10vien),0
22_Kem rửa mặt ngăn ngừa mụn (Acnes Creamy Wash) 100 g,Acnotin10 (3vi x 10vien),0
Chiết khấu,Acnotin10 (3vi x 10vien),0
GLUCOPHAGE TAB 500MG 50'S,Enat 400(3vi x 10 vien) Ma moi,0
CP61037974 - 936146 – BCDR COL CUSHION CLEAN CHARCOAL 2P X 12 BỘ,Enat 400(3vi x 10 vien) Ma moi,0
Tăm chỉ kẽ răng pharma,Enat 400(3vi x 10 vien) Ma moi,0
PO000308006,Enat 400(3vi x 10 vien) Ma moi,0
Nước Súc Miệng Truyền Thống Hương Vỏ Chanh 1.000ml,Enat 400(3vi x 10 vien) Ma moi,0
Kem Nghệ Collagen Thorakao 10 g,Enat 400(3vi x 10 vien) Ma moi,0
Magnesi -B6 v/10 h/100 t/7200,Normagut 250mg(3Vi x 10vien),0
Sovalimus 0.03% -10g,Normagut 250mg(3Vi x 10vien),0
JANUMET 50MG/1000MG TAB 28'S,Normagut 250mg(3Vi x 10vien),0
Chai xịt vết thương Farmactive Spray Plaster,Normagut 250mg(3Vi x 10vien),0
Trà gừng Thái Dương (Hộp 10 gói x 3g),Normagut 250mg(3Vi x 10vien),0
CONCOR TAB 5MG 3X10'S,Normagut 250mg(3Vi x 10vien),0
DAU XANH EAGLE 12ml,Normagut 250mg(3Vi x 10vien),0
205534-Dầu xả dưỡng tóc dành cho tóc gàu (Selsun Anti-Dandruff Conditioner) 100 ml,Normagut 250mg(3Vi x 10vien),0
"BIOCEMET SC 500mg/62,5mg TB, H/12",Normagut 250mg(3Vi x 10vien),0
(D05) DOXYCYCLINE 100mg (HCN/10vỉ/10VNAC),Doxycycline 100mg (Hop 10 vi x 10 vien),1
"PREGNACARE BREAST-FEEDING (HOP/56 VIEN NEN, 28 VIEN NANG)",Doxycycline 100mg (Hop 10 vi x 10 vien),0
(C41) CALCI-D (HCN/1túi/10vỉ/10VNBP),Calci D (10vi x 10vien),1
(C41) CALCI-D (HCN/1túi/10vỉ/10VNBP),Calci D (10vi x 10vien),1
CEFUROXIM 500mg,Calci D (10vi x 10vien),0
BCDR Sensodyne Multi Care Soft,Calci D (10vi x 10vien),0
"Bông tẩm cồn Alcohol Pads Pharmacity, model B/100 (100 miếng/hôp)  PO000305157",Calci D (10vi x 10vien),0
BAIFEM K GEL BẢO VỆ-DỊU NHẸ,Calci D (10vi x 10vien),0
FEROGLOBIN B12 CAPSULES (H/30 VIEN) - UNITED KINGDOM,Calci D (10vi x 10vien),0
DC THAY LUOI SCHICK EXACTA2 SYSTEM1+2S,Calci D (10vi x 10vien),0
PO000307423,Calci D (10vi x 10vien),0
BVS Diana HN Kháng Khuẩn 20 - 2304,Tra tui loc Actiso (Goi 100 tui x 2g),0
Dầu xả dược liệu Nguyên Xuân 150ml KM 30ml,Tra tui loc Actiso (Goi 100 tui x 2g),0
SING-GUM HUBBA BUBBA VI NHO 56g,LADO Actiso Cao Ong Khong Duong (Hop 10 ong * 10ml),0
ROCIMUS 0.1%W/W;0.10%,LADO Actiso Cao Ong Khong Duong (Hop 10 ong * 10ml),0
Thuốc nhỏ mắt (V.ROHTO COOL)  12ml - (Việt Nam),LADO Actiso Cao Ong Khong Duong (Hop 10 ong * 10ml),0
BVS Diana SENSI Cool Fresh SM KC 8 -2212,LADO Actiso Cao Ong Khong Duong (Hop 10 ong * 10ml),0
MEDROL TAB 16MG 30'S,LADO Actiso Cao Ong Khong Duong (Hop 10 ong * 10ml),0
(PO số: PO000311290),LADO Actiso Cao Ong Khong Duong (Hop 10 ong * 10ml),0
Thực phẩm bảo vệ sức khỏe Brauer Baby & Kids Liquid Zinc 200mL,LADO Actiso Cao Ong Khong Duong (Hop 10 ong * 10ml),0
Tăm bông VST trẻ em  Hộp 200  que giấy,LADO Actiso Cao Ong Khong Duong (Hop 10 ong * 10ml),0
ACEMUC 200 CAP_BL3X10_VN,LADO Actiso Cao Ong Khong Duong (Hop 10 ong * 10ml),0
LADO CARE VAN MOC HUONG CH/80 VIEN Th/320 71.ZZZ.0.00.PT,"Van Moc Huong Giam Day Bung, Kho Tieu, Non, Tieu Chay (Chai 80vien)",1
PO000307238,"Van Moc Huong Giam Day Bung, Kho Tieu, Non, Tieu Chay (Chai 80vien)",0
Khẩu trang y tế Pharmacity màu trắng (10 cái/ gói) PO000305157,"Van Moc Huong Giam Day Bung, Kho Tieu, Non, Tieu Chay (Chai 80vien)",0
BVS Diana HN Cool Fresh 20 - 2304,"Van Moc Huong Giam Day Bung, Kho Tieu, Non, Tieu Chay (Chai 80vien)",0
TTX02 - Thông xoang Nam Dược (Lọ 15ml),"Van Moc Huong Giam Day Bung, Kho Tieu, Non, Tieu Chay (Chai 80vien)",0
DOROCODON VBĐ H/2vỉx10viên -00823-201226-DMC 0,"Van Moc Huong Giam Day Bung, Kho Tieu, Non, Tieu Chay (Chai 80vien)",0
Viên ngậm Viacol (Hộp/20 viên),Viacol Keo Ngam Giam Ho (5Vi X 4Vien),1
Mặt nạ đất sét Vedette Cocoa 12g,Viacol Keo Ngam Giam Ho (5Vi X 4Vien),0
CIPROBAY TAB 500MG 10'S,Viacol Keo Ngam Giam Ho (5Vi X 4Vien),0
(PO000312279),Viacol Keo Ngam Giam Ho (5Vi X 4Vien),0
Klamentin 500/125 v/4 h/12 t/960,Viacol Keo Ngam Giam Ho (5Vi X 4Vien),0
PMC BÔNG VIÊN TIỆT TRÙNG 2X2CM (20V/GÓI),PMC Bong Vien Tiet Trung 2x2cm (20V/goi),1
"MEN’S GINSENG ALIPAS, Hộp/60 viên, Lô: MN07082360, HSD: 19/06/2026",PMC Bong Vien Tiet Trung 2x2cm (20V/goi),0
320759-15288-Nước TT SK AC Water Fresh 230 mL(SK ALL CWM FORMULA FRESH A 230ML),PMC Bong Vien Tiet Trung 2x2cm (20V/goi),0
PMC BÔNG VIÊN TIỆT TRÙNG 2X2CM (20V/GÓI),PMC Bong Vien Tiet Trung 2x2cm (20V/goi),1
Effer-Paralmax 500 (Hộp 5 vỉ x 4 viên),PMC Bong Vien Tiet Trung 2x2cm (20V/goi),0
PO000307423,PMC Bong Vien Tiet Trung 2x2cm (20V/goi),0
PMC BÔNG Y TẾ 25G,PMC Bong Y Te 25g,1
Tâm Liên Thiên Minh Phúc,PMC Bong Y Te 25g,0
JARDIANCE DUO 12.5MG/850MG TABS30,PMC Bong Y Te 25g,0
"PHARCAVIR (SL: 83094, HD: 28/12/2025) - PO000281489-1",PMC Bong Y Te 25g,0
(PO000306584),PMC Gac Tiet Trung 5X7.5cm (10M),0
FLUOMIZIN 10MG,PMC Gac Tiet Trung 5X7.5cm (10M),0
BIOSUBTYL-II 1g T/80H/25gói,PMC Gac Tiet Trung 5X7.5cm (10M),0
"Băng keo cuộn lụa Young Plaster-Silk (No logo bl) 1,25cm x 5m, 1 cuộn/hôp",PMC Gac Tiet Trung 8X10cm (10M),0
CLOSE UP KDR KIM CUONG P0118 36X100G,PMC Gac Tiet Trung 8X10cm (10M),0
